cD disk - LS-1971,,cD hexagonal - LS-1971,,cD branched - LS-1971,,cD stellarplate - LS-1971,,cD dendrite - LS-1971,,cD stellar - LS-1971,,Be disk - LS-1971,,Be hexagonal - LS-1971,,Be branched - LS-1971,,Be stellarplate - LS-1971,,Be dendrite - LS-1971,,Be stellar - LS-1971,
7.621984528,4.80089862,6.137644716,6.226380763,6.330525909,6.611774041,3.357065852,15.2368544,4.041923901,20.4098747,3.683612996,28.99361803,4.550935076,13.42090242,4.700008072,15.51664575,5.071469275,18.85065766,4.041923901,20.4098747,3.012497544,21.19795524,3.615856356,35.56178206
7.984084614,4.651562683,6.42922779,6.016937779,6.631272253,6.422895312,3.516551066,14.72431712,4.233944889,19.72332737,3.858611591,27.87207245,4.718221872,14.13985749,4.90428744,16.32604575,5.217374449,19.55172651,4.233944889,21.44608947,3.155613241,22.12893439,3.79937396,37.66127964
8.363387107,4.518681365,6.734663196,5.875723581,6.946306251,6.206841972,3.683612996,14.26630501,4.435088279,19.01006187,4.041923901,26.86411941,4.923292877,14.799778,5.298720719,18.57782404,5.423124362,20.43780135,4.367000545,22.36016253,3.204813728,22.92316922,3.918772821,39.36936524
8.760709246,4.36668197,7.054609021,5.707871626,7.276306671,6.045330188,3.858611591,13.78641507,4.645787454,18.27470519,4.233944889,25.82494816,5.177170831,15.69399745,5.507678565,19.39436908,5.814135726,22.68639872,4.574465053,23.61868568,3.370075388,23.88260397,4.10494323,41.36815839
9.176907096,4.264198362,7.332811249,5.537746472,7.621984528,5.857285174,4.041923901,13.2531221,4.942371966,17.47493914,4.400912738,25.15376952,5.33986824,16.53508423,5.769333634,20.27264593,6.043419235,23.65255836,4.942371966,26.1478711,3.516551066,25.07913007,4.233944889,43.24436537
9.612877393,4.109989818,8.234991899,5.08373239,7.984084614,5.704869408,4.233944889,12.77384217,5.137277011,16.97629029,4.574465053,24.08681961,5.564779172,17.2390851,6.043419235,21.30189355,6.233339305,24.59622559,5.113488428,27.36204563,3.627061954,26.3886427,4.452275443,46.03759751
10.06955947,4.013530633,8.626214325,5.00354731,8.363387107,5.541898249,4.504237598,12.31108505,5.423124362,16.44768784,4.791785646,23.42936669,5.724876774,17.99757803,6.28174466,22.06426819,6.449152072,25.67108337,5.33986824,28.83448489,3.813905979,28.13135542,4.663791134,48.43827578
10.54793729,3.878523497,9.036022682,4.898919966,8.760709246,5.397689347,4.718221872,11.92813853,5.680762487,15.72891293,5.019430558,22.58207766,5.904786352,19.08658118,6.529468574,23.21559571,6.734663196,27.44470518,5.507678565,30.10282744,4.10494323,30.29862692,4.828996532,50.5680989
11.04904156,3.767725611,9.465299937,4.746534993,9.176907096,5.243493409,4.942371966,11.58738708,5.950640309,15.12047929,5.25789027,21.87964338,6.137644716,19.79555626,6.839666151,24.58652214,7.032814215,28.91402518,5.751509612,31.79755827,4.250352568,31.71373527,5.034985855,52.91448498
11.57395196,3.660092891,9.838569032,4.671822104,9.612877393,5.09370239,5.177170831,11.16834604,6.233339305,14.65014422,5.680762487,20.4873123,6.379685972,20.71977423,7.054609021,25.90418508,7.389754616,30.86239351,6.043419235,33.71891386,4.400912738,33.23839882,5.217374449,55.76381642
12.12379944,3.555534918,10.54793729,4.490661342,10.06955947,4.961156248,5.423124362,10.8492996,6.529468574,14.1573427,6.043419235,19.43751702,6.631272253,21.51755067,7.361227871,27.14865707,7.651521775,32.51586397,6.233339305,35.29434822,4.574465053,34.69931532,5.423124362,58.21478526
12.69976871,3.453963855,11.13484353,4.333787571,10.54793729,4.794272884,5.680762487,10.53936736,6.839666151,13.7169668,6.42922779,18.8810032,6.919491354,22.58080917,7.740822081,28.90223816,7.953263571,33.81203908,6.449152072,36.83671514,4.791785646,36.50874711,5.680762487,61.49135602
13.30310073,3.372901236,11.75440629,4.193353093,11.04904156,4.669518368,5.950640309,10.18484414,7.164600385,13.22091261,6.734663196,18.29369392,7.220237501,23.7586995,8.046085482,30.77060391,8.234991899,35.7168832,6.700021666,38.76910738,4.942371966,38.21452966,5.927668992,64.69895027
13.93509544,3.267984343,12.31282668,4.073561461,11.57395196,4.53612411,6.233339305,9.868036109,7.504971375,12.7427975,7.054609021,17.67833068,7.44714018,24.60981011,8.298941202,31.99826014,8.599564135,37.72767449,6.946306251,40.84596073,5.113488428,39.88450883,6.201276468,68.25148987
14.59711454,3.182946254,12.89777612,3.957191921,12.12379944,4.418087032,6.529468574,9.611254301,7.86151248,12.37877365,7.389754616,17.12843153,7.621984528,25.76049077,8.559743148,33.40576767,9.001140832,40.3233379,7.24821787,42.97662229,5.312401208,41.97678321,6.42922779,71.90770857
